name,soq_2011,incentive_2011,catergorical_2011,lottery_2011,total_2011,soq_2012,incentive_2012,catergorical_2012,lottery_2012,total_2012,soq_2013,incentive_2013,catergorical_2013,lottery_2013,total_2013,soq_2014,incentive_2014,catergorical_2014,lottery_2014,total_2014
New Kent County,3983.25,46.36,4.8,86.11,4123.06,3888.57,35.5,5.68,99.26,4031.72,3947.9,166.23,6.4,105.82,4226.34,4293.9,72.29,5.35,105.93,4478.46
Newport News City,4535.28,76.95,51.9,723.7,5393.36,4641.03,83.6,59.35,756.33,5549.97,4650.88,146.84,56.62,776.94,5642.61,4942.61,44.67,58.91,829.87,5886.16
Norfolk City,4248.17,118.3,104.28,861.83,5343.29,4470.69,141.95,110.96,877.17,5614.62,4444.14,215.69,103.7,905.14,5717.21,4699.65,108.41,108.26,902.08,5878.27
Northampton County,4053.19,126.79,6.73,637.94,4886.95,4021.46,175.03,7.07,735.71,5008.41,4065.92,226.71,11.28,732.05,5104.69,4400.31,124.83,10.84,822.38,5447.74
Northumberland County,2024.5,99.99,5.33,345.41,2476.9,2096.58,135,5.72,161.39,2402.21,2088.95,214.76,4.61,208.17,2516.49,2574.28,90.08,6.22,244.76,2946.13
Norton City,4366.38,51.84,7.69,415.38,5006.7,4555.41,122.99,10.46,450.1,5335.25,4636.15,202.44,14.46,567.06,5633.98,5009.92,94.47,21.29,524.41,5982.51
Nottoway County,5015.36,172.98,7.68,735.2,5932.28,5198.79,137.79,7.96,798.84,6145.6,5186.08,300.03,7.99,839.65,6371.67,5504.47,89.56,10.81,926.67,6552.5
Orange County,3792.24,96.02,18.99,171.08,4078.8,4238.14,97.97,27.4,263.12,4627.11,4259.51,167.74,27.04,303.74,4758.51,4606.22,54.95,27.32,355.22,5049.47
Page County,4455.21,126.52,11.21,607.45,5203.08,4769.8,130.46,10.8,641.31,5578.72,4804.45,222.94,11.05,670.24,5709.38,5081.66,97.07,9.31,676.8,5865.55
Patrick County,5236.61,146.44,13.75,462.87,5859.67,5225.38,50.37,9.93,502.77,5827.39,5210.54,237.04,13.2,493.1,5953.86,5658.86,88.21,14.49,561.99,6323.55
Petersburg City,4843.04,168.53,31.44,1013.82,6061.46,5077.25,197.85,31.21,1049.43,6384.66,5044.99,242.42,32.66,1119.84,6480,5249.7,201.75,29.84,1108.56,6722.47
Pittsylvania County,5095.73,148.36,16.27,476.99,5901.32,5211.45,109.09,16.94,558.74,5978.36,5211,159.47,15.28,576.86,6061.12,5523.72,96.06,18.37,593.68,6322.63
Poquoson City,4164.91,126.97,10.49,184.93,4519.28,4311.86,138.97,12.39,159.37,4638.2,4304.08,201.24,9.4,171.58,4714.06,4531.66,96.81,12.35,217.35,4875.49
Portsmouth City,4732.89,60.93,18.21,873.75,5694.72,4785.47,69,34.52,881.43,5784.76,4830.63,129.81,35.97,926.21,5951.64,5033.59,103.94,33.84,917.02,6112.88
Powhatan County,4159.23,93.95,11.08,153.39,4419.79,4187.88,93.18,13.61,142.26,4438.17,4219.59,162.43,12.66,158.83,4554.1,4729.45,57.2,12.02,180.17,4980.02
Prince Edward County,4943.55,103,135.59,713.22,5904.09,4919.54,123.43,172.76,672.94,5901.04,4914.05,206.58,193.38,703.73,6040.05,5248.1,114.45,55.27,741.66,6172.2
Prince George County,4938.08,97,150.29,254.31,5449.54,5026.98,98.73,127,356.08,5615.73,5024.37,180.28,114.82,362.03,5687.07,5552.05,52.88,107.38,366.94,6083.43
Prince William County,4137.36,74.57,24.38,509.84,4814.68,4414.71,48.99,24.96,575.16,5110.57,4321.92,136.26,25.69,601.65,5135.96,4545.27,40.57,26.4,630.44,5291.71
